"sentiment","textID","date","no_query","special","text"
"0","1752114607","Sat May 09 21:05:04 PDT 2009","NO_QUERY","ImTheNiceGuy","Home from the show left after Ryan's set... I stink of smoke  but they WOWED even me if they don't win I'd be shocked I'll keep you posted"
"0","1752114674","Sat May 09 21:05:05 PDT 2009","NO_QUERY","julie_harvey","@UncleRUSH sickness, it's bad... Good Luck tho. Feel better quick. I totally feel your pain. it's been 3 dr's, 5 surgeries and 1 1/2 yr "
"0","1752114821","Sat May 09 21:05:06 PDT 2009","NO_QUERY","E7Flux","@jupaman Damn Pablo sorry to hear your troubles with Apple  Hang in there kid"
"0","1752114907","Sat May 09 21:05:07 PDT 2009","NO_QUERY","VintagePinUp50","no in two weeks if the meds dont work ill have to do over nite surgery "
"0","1752115450","Sat May 09 21:05:11 PDT 2009","NO_QUERY","ann_8D","I'm really gonna miss being a kid  I hate change."
"0","1752115526","Sat May 09 21:05:12 PDT 2009","NO_QUERY","newandhorrible","@ChelseaG83 AH "
"0","1752115828","Sat May 09 21:05:15 PDT 2009","NO_QUERY","Victoriamber","At the Underground with @milleinad and Jordan. It's so sad "
"0","1752115834","Sat May 09 21:05:15 PDT 2009","NO_QUERY","AdriKat","All I had to eat today was a small sandwhich at like 12:30  Im sooo hungweee and have nothing to eat."
"0","1752116344","Sat May 09 21:05:19 PDT 2009","NO_QUERY","vice_kartel","has work at 8 "
"0","1752116514","Sat May 09 21:05:21 PDT 2009","NO_QUERY","ariellemeads","UNsucessful weekend. "
"0","1752116688","Sat May 09 21:05:22 PDT 2009","NO_QUERY","SummerJS","@Edi240 I know   how was it?"
"0","1752116814","Sat May 09 21:05:23 PDT 2009","NO_QUERY","DoubleOSix","Mom is acting crazy again "
"0","1752116948","Sat May 09 21:05:24 PDT 2009","NO_QUERY","heynatasha","@Nick_is_awesome i'm sorry "
"0","1752117149","Sat May 09 21:05:26 PDT 2009","NO_QUERY","HiddenMyst","Can't get my new phone tomorrow "
"0","1752117176","Sat May 09 21:05:27 PDT 2009","NO_QUERY","edwards_ashley","I love graduating but I wish I was still in college "
"0","1752117330","Sat May 09 21:05:28 PDT 2009","NO_QUERY","mandeewood","Just got home. And now i'm bored "
"0","1752117527","Sat May 09 21:05:30 PDT 2009","NO_QUERY","Baby__Riah","My papas bought me a boca bUrger  we grubbed, then he left "
"0","1752118637","Sat May 09 21:05:40 PDT 2009","NO_QUERY","printxcessmira","I wanna watch BOF Currently eating @ Hjh Maimunah. Oh, and I haven't studied a thing for Bio tomorrow "
"0","1752118883","Sat May 09 21:05:42 PDT 2009","NO_QUERY","nique22","@AlexCouey At least it happened to the other. Sucks to put in a new tube then have THAT tube go within a day or two. "
